timestamp,pressure_hPa,relative_altitude_m
2025-09-10T06:58:05Z,1010.2,0.000
2025-09-10T06:58:06Z,1010.2,-0.127
2025-09-10T06:58:07Z,1010.2,-0.256
2025-09-10T06:58:08Z,1010.3,-0.499
2025-09-10T06:58:09Z,1010.3,-0.650
2025-09-10T06:58:10Z,1010.3,-0.737
2025-09-10T06:58:11Z,1010.3,-0.737
2025-09-10T06:58:12Z,1010.3,-0.700
2025-09-10T06:58:13Z,1010.3,-0.573
2025-09-10T06:58:14Z,1010.2,-0.417
2025-09-10T06:58:15Z,1010.2,-0.256
2025-09-10T06:58:17Z,1010.2,-0.098
2025-09-10T06:58:18Z,1010.2,0.029
2025-09-10T06:58:19Z,1010.2,0.082
2025-09-10T06:58:20Z,1010.2,0.132
2025-09-10T06:58:21Z,1010.2,0.188
2025-09-10T06:58:22Z,1010.2,0.217
2025-09-10T06:58:23Z,1010.2,0.225
2025-09-10T06:58:24Z,1010.2,0.217
2025-09-10T06:58:25Z,1010.2,0.214
2025-09-10T06:58:26Z,1010.2,0.196
2025-09-10T06:58:27Z,1010.2,0.196
2025-09-10T06:58:28Z,1010.2,0.203
2025-09-10T06:58:29Z,1010.2,0.206
2025-09-10T06:58:30Z,1010.2,0.209
2025-09-10T06:58:32Z,1010.2,0.209
2025-09-10T06:58:33Z,1010.2,0.201
2025-09-10T06:58:34Z,1010.2,0.201
2025-09-10T06:58:35Z,1010.2,0.201
2025-09-10T06:58:36Z,1010.2,0.214
2025-09-10T06:58:37Z,1010.2,0.235
2025-09-10T06:58:38Z,1010.2,0.235
2025-09-10T06:58:39Z,1010.2,0.227
2025-09-10T06:58:40Z,1010.2,0.217
2025-09-10T06:58:41Z,1010.2,0.182
2025-09-10T06:58:42Z,1010.2,0.108
2025-09-10T06:58:43Z,1010.2,0.000
2025-09-10T06:58:44Z,1010.2,-0.119
2025-09-10T06:58:46Z,1010.2,-0.235
2025-09-10T06:58:47Z,1010.2,-0.341
